start_preprocess,e_preprocess,end_preprocess,start_infer,e_infer,end_infer,start_postprocess,e_postprocess,end_postprocess,execution_time,cycle_time,frame_rate
2894811.60,10.35,2894821.95,2894821.95,530.77,2895352.72,2895352.72,0.01,2895352.73,541.13,nan,nan
2895352.74,10.30,2895363.03,2895363.03,530.95,2895893.98,2895893.98,0.01,2895893.99,541.25,541.14,1.85
2895893.99,10.36,2895904.35,2895904.35,531.47,2896435.82,2896435.82,0.01,2896435.83,541.84,541.25,1.85
2896435.84,10.32,2896446.16,2896446.16,531.13,2896977.29,2896977.29,0.01,2896977.30,541.46,541.84,1.85
2896977.30,10.32,2896987.62,2896987.62,531.31,2897518.93,2897518.93,0.01,2897518.94,541.64,541.47,1.85
2897518.94,10.32,2897529.26,2897529.26,531.37,2898060.63,2898060.63,0.01,2898060.64,541.70,541.64,1.85
2898060.65,10.37,2898071.02,2898071.02,531.50,2898602.52,2898602.52,0.01,2898602.53,541.88,541.70,1.85
2898602.53,10.33,2898612.87,2898612.87,531.18,2899144.04,2899144.05,0.01,2899144.05,541.52,541.89,1.85
2899144.06,10.22,2899154.28,2899154.28,531.17,2899685.45,2899685.45,0.01,2899685.46,541.40,541.52,1.85
2899685.46,10.34,2899695.80,2899695.80,531.26,2900227.06,2900227.06,0.01,2900227.07,541.61,541.41,1.85
2900227.07,10.39,2900237.47,2900237.47,531.20,2900768.66,2900768.66,0.01,2900768.67,541.60,541.61,1.85
2900768.68,10.35,2900779.03,2900779.03,531.07,2901310.10,2901310.10,0.01,2901310.10,541.43,541.60,1.85
2901310.11,10.34,2901320.45,2901320.45,531.07,2901851.52,2901851.52,0.01,2901851.52,541.42,541.43,1.85
2901851.53,10.35,2901861.88,2901861.88,530.66,2902392.54,2902392.54,0.01,2902392.54,541.01,541.42,1.85
2902392.55,10.34,2902402.89,2902402.89,531.01,2902933.91,2902933.91,0.01,2902933.92,541.37,541.02,1.85
2902933.92,10.41,2902944.33,2902944.33,531.23,2903475.57,2903475.57,0.01,2903475.57,541.65,541.37,1.85
2903475.58,10.33,2903485.91,2903485.91,530.90,2904016.81,2904016.81,0.01,2904016.81,541.23,541.66,1.85
2904016.82,10.38,2904027.19,2904027.19,531.00,2904558.19,2904558.19,0.01,2904558.20,541.38,541.24,1.85
2904558.20,10.35,2904568.55,2904568.55,531.47,2905100.02,2905100.02,0.01,2905100.03,541.82,541.39,1.85
2905100.03,10.32,2905110.36,2905110.36,531.05,2905641.40,2905641.40,0.01,2905641.41,541.38,541.83,1.85
2905641.42,10.31,2905651.73,2905651.73,531.11,2906182.84,2906182.84,0.01,2906182.84,541.43,541.38,1.85
2906182.85,10.32,2906193.17,2906193.17,530.82,2906723.99,2906723.99,0.02,2906724.01,541.16,541.43,1.85
2906724.02,10.30,2906734.32,2906734.32,530.85,2907265.17,2907265.17,0.01,2907265.17,541.16,541.17,1.85
2907265.18,10.38,2907275.56,2907275.56,531.03,2907806.59,2907806.59,0.01,2907806.60,541.42,541.16,1.85
2907806.60,10.40,2907817.00,2907817.00,531.25,2908348.25,2908348.25,0.01,2908348.26,541.66,541.42,1.85
2908348.26,10.33,2908358.59,2908358.59,531.64,2908890.23,2908890.23,0.01,2908890.24,541.98,541.66,1.85
2908890.24,10.39,2908900.63,2908900.63,531.14,2909431.78,2909431.78,0.01,2909431.79,541.54,541.98,1.85
2909431.79,10.32,2909442.11,2909442.11,530.64,2909972.75,2909972.75,0.01,2909972.75,540.96,541.55,1.85
2909972.76,10.35,2909983.11,2909983.11,530.85,2910513.96,2910513.96,0.01,2910513.97,541.21,540.97,1.85
2910513.97,10.41,2910524.38,2910524.38,531.07,2911055.45,2911055.45,0.01,2911055.46,541.49,541.21,1.85
2911055.46,10.31,2911065.77,2911065.77,531.13,2911596.90,2911596.90,0.01,2911596.91,541.44,541.49,1.85
2911596.91,10.34,2911607.25,2911607.25,531.15,2912138.41,2912138.41,0.01,2912138.42,541.50,541.45,1.85
2912138.42,10.34,2912148.76,2912148.76,531.06,2912679.82,2912679.82,0.01,2912679.83,541.40,541.51,1.85
2912679.83,10.35,2912690.18,2912690.18,530.94,2913221.12,2913221.12,0.01,2913221.12,541.29,541.41,1.85
2913221.13,10.33,2913231.46,2913231.46,531.44,2913762.90,2913762.90,0.01,2913762.91,541.78,541.30,1.85
2913762.91,10.34,2913773.26,2913773.26,531.81,2914305.06,2914305.06,0.01,2914305.07,542.16,541.78,1.85
2914305.07,10.25,2914315.33,2914315.33,531.33,2914846.66,2914846.66,0.01,2914846.67,541.59,542.16,1.84
2914846.67,10.30,2914856.97,2914856.97,531.00,2915387.97,2915387.97,0.01,2915387.97,541.30,541.60,1.85
2915387.98,10.29,2915398.27,2915398.27,531.46,2915929.72,2915929.72,0.01,2915929.73,541.75,541.31,1.85
2915929.74,10.35,2915940.08,2915940.08,531.47,2916471.55,2916471.55,0.01,2916471.56,541.82,541.76,1.85
2916471.56,10.33,2916481.89,2916481.89,530.93,2917012.82,2917012.82,0.01,2917012.83,541.26,541.83,1.85
2917012.83,10.27,2917023.10,2917023.10,528.26,2917551.36,2917551.36,0.01,2917551.37,538.53,541.27,1.85
2917551.37,10.04,2917561.41,2917561.41,510.92,2918072.33,2918072.33,0.01,2918072.34,520.97,538.54,1.86
