start_preprocess,e_preprocess,end_preprocess,start_infer,e_infer,end_infer,start_postprocess,e_postprocess,end_postprocess,execution_time,cycle_time,frame_rate
422413.62,9.80,422423.42,422423.42,18.94,422442.37,422442.37,0.01,422442.37,28.75,nan,nan
422442.38,9.78,422452.16,422452.16,18.95,422471.11,422471.11,0.01,422471.12,28.74,28.76,34.78
422471.12,9.81,422480.94,422480.94,18.95,422499.89,422499.89,0.01,422499.89,28.77,28.75,34.79
422499.89,9.84,422509.73,422509.73,19.06,422528.79,422528.79,0.01,422528.80,28.90,28.77,34.76
422528.80,9.81,422538.61,422538.61,19.11,422557.72,422557.72,0.01,422557.73,28.93,28.91,34.59
422557.73,9.85,422567.58,422567.58,18.96,422586.53,422586.53,0.01,422586.54,28.81,28.93,34.57
422586.54,9.80,422596.34,422596.34,18.92,422615.26,422615.26,0.01,422615.26,28.72,28.81,34.70
422615.27,9.85,422625.11,422625.11,18.94,422644.06,422644.06,0.01,422644.06,28.80,28.72,34.82
422644.07,9.84,422653.91,422653.91,18.93,422672.84,422672.84,0.01,422672.84,28.78,28.80,34.72
422672.84,9.82,422682.67,422682.67,19.04,422701.70,422701.70,0.01,422701.71,28.87,28.78,34.75
422701.71,9.79,422711.51,422711.51,19.07,422730.58,422730.58,0.01,422730.59,28.88,28.87,34.64
422730.59,9.78,422740.37,422740.37,18.92,422759.29,422759.29,0.01,422759.30,28.71,28.88,34.63
422759.30,9.75,422769.05,422769.05,18.96,422788.01,422788.01,0.01,422788.02,28.72,28.71,34.83
422788.02,9.77,422797.79,422797.79,18.94,422816.73,422816.73,0.01,422816.74,28.72,28.72,34.82
422816.74,9.81,422826.55,422826.55,18.95,422845.51,422845.51,0.01,422845.51,28.77,28.72,34.82
422845.52,9.78,422855.29,422855.29,19.04,422874.34,422874.34,0.01,422874.34,28.83,28.77,34.75
422874.34,9.83,422884.17,422884.17,19.05,422903.23,422903.23,0.01,422903.23,28.89,28.83,34.69
422903.23,9.79,422913.03,422913.03,18.95,422931.98,422931.98,0.01,422931.98,28.75,28.89,34.61
422931.98,9.82,422941.80,422941.80,19.00,422960.80,422960.80,0.01,422960.81,28.82,28.75,34.78
422960.81,9.82,422970.63,422970.63,18.96,422989.59,422989.59,0.01,422989.60,28.79,28.83,34.69
422989.60,9.82,422999.42,422999.42,18.92,423018.33,423018.33,0.01,423018.34,28.74,28.79,34.73
423018.34,9.79,423028.14,423028.14,18.91,423047.05,423047.05,0.01,423047.05,28.71,28.74,34.79
423047.06,9.81,423056.86,423056.86,18.52,423075.38,423075.38,0.01,423075.39,28.33,28.71,34.83
423075.39,9.79,423085.18,423085.18,18.41,423103.59,423103.59,0.01,423103.60,28.21,28.33,35.30
423103.60,9.85,423113.45,423113.45,18.43,423131.88,423131.89,0.01,423131.89,28.29,28.21,35.45
423131.90,9.79,423141.69,423141.69,18.31,423159.99,423159.99,0.01,423160.00,28.11,28.30,35.34
423160.01,9.79,423169.80,423169.80,18.33,423188.12,423188.12,0.01,423188.13,28.12,28.11,35.57
